code,name,date,open,high,low,close,volume,trade_value
005930,»ï¼ºÀüÀÚ,20240417,80700,80800,78900,78900,22611631,1800986
005930,»ï¼ºÀüÀÚ,20240418,78800,80100,78300,79600,21370190,1694197
005930,»ï¼ºÀüÀÚ,20240419,78300,78700,76300,77600,31317563,2423649
005930,»ï¼ºÀüÀÚ,20240422,77400,77500,75100,76100,30469477,2320446
005930,»ï¼ºÀüÀÚ,20240423,76400,76800,75500,75500,18717699,1424155
005930,»ï¼ºÀüÀÚ,20240424,77500,78800,77200,78600,22166150,1732479
005930,»ï¼ºÀüÀÚ,20240425,77300,77500,76300,76300,15549134,1195064
005930,»ï¼ºÀüÀÚ,20240426,77800,77900,76500,76700,12755629,982997
005930,»ï¼ºÀüÀÚ,20240429,77400,77600,76200,76700,14664474,1124366
005930,»ï¼ºÀüÀÚ,20240430,77000,78500,76600,77500,19007007,1477530
005930,»ï¼ºÀüÀÚ,20240502,77600,78600,77300,78000,18900640,1475153
005930,»ï¼ºÀüÀÚ,20240503,79000,79000,77500,77600,13151889,1028554
005930,»ï¼ºÀüÀÚ,20240507,79600,81300,79400,81300,26238868,2112619
005930,»ï¼ºÀüÀÚ,20240508,80800,81400,80500,81300,13089576,1060567
005930,»ï¼ºÀüÀÚ,20240509,81100,81500,79700,79700,18759935,1509120
005930,»ï¼ºÀüÀÚ,20240510,80400,81100,78900,79200,16976124,1351235
005930,»ï¼ºÀüÀÚ,20240513,79400,79900,77600,78400,18652344,1460962
005930,»ï¼ºÀüÀÚ,20240514,78600,78800,77900,78300,11763992,920738
005930,»ï¼ºÀüÀÚ,20240516,80200,80300,78100,78200,20989778,1656385
005930,»ï¼ºÀüÀÚ,20240517,78600,78800,77200,77400,15918201,1237640
005930,»ï¼ºÀüÀÚ,20240520,78100,79100,77900,78900,19456783,1528020
005930,»ï¼ºÀüÀÚ,20240521,78500,79000,78200,78400,13690583,1074831
005930,»ï¼ºÀüÀÚ,20240522,78100,78700,77300,77700,19521506,1522590
005930,»ï¼ºÀüÀÚ,20240523,77700,79100,77100,78300,18728087,1462379
005930,»ï¼ºÀüÀÚ,20240524,76800,77000,75700,75900,27891278,2127292
005930,»ï¼ºÀüÀÚ,20240527,75300,78200,74000,77200,43825202,3306633
005930,»ï¼ºÀüÀÚ,20240528,76500,78000,76200,77600,18539072,1436715
005930,»ï¼ºÀüÀÚ,20240529,77700,78200,75200,75200,30244875,2312008
005930,»ï¼ºÀüÀÚ,20240530,74800,75200,73500,73500,28551273,2117784
005930,»ï¼ºÀüÀÚ,20240531,74500,74700,73500,73500,26198776,1935964
005930,»ï¼ºÀüÀÚ,20240603,74400,76400,74200,75700,15706268,1186657
005930,»ï¼ºÀüÀÚ,20240604,74900,76100,74900,75300,14098053,1065751
005930,»ï¼ºÀüÀÚ,20240605,78000,78000,76800,77400,23177968,1794237
005930,»ï¼ºÀüÀÚ,20240607,78400,78600,77100,77300,21189349,1645298
005930,»ï¼ºÀüÀÚ,20240610,76100,76600,75600,75700,14598755,1109352
005930,»ï¼ºÀüÀÚ,20240611,75900,76000,75100,75200,16971175,1280832
005930,»ï¼ºÀüÀÚ,20240612,75300,77100,75200,76500,19246725,1460415
005930,»ï¼ºÀüÀÚ,20240613,78400,79000,77800,78600,33763804,2648773
005930,»ï¼ºÀüÀÚ,20240614,79700,80500,79000,79600,22926612,1830283
005930,»ï¼ºÀüÀÚ,20240617,79200,79500,78000,78100,16123051,1267631
005930,»ï¼ºÀüÀÚ,20240618,78700,80200,78600,79800,18207598,1451893
005930,»ï¼ºÀüÀÚ,20240619,81100,82500,80500,81200,24168863,1965912
