code,name,date,open,high,low,close,volume,trade_value
092870,¿¢½ÃÄÜ,20240417,26216,27221,26025,26312,914671,24328
092870,¿¢½ÃÄÜ,20240418,25738,28178,25547,27891,1503379,41229
092870,¿¢½ÃÄÜ,20240419,27125,27508,24446,25547,1084514,27927
092870,¿¢½ÃÄÜ,20240422,25068,25212,23729,24351,530285,12929
092870,¿¢½ÃÄÜ,20240423,24829,25116,24064,24064,443019,10744
092870,¿¢½ÃÄÜ,20240424,20715,23633,20476,21815,3453245,75584
092870,¿¢½ÃÄÜ,20240425,21672,21911,21097,21337,664843,14267
092870,¿¢½ÃÄÜ,20240426,21480,21719,20236,20476,843346,17406
092870,¿¢½ÃÄÜ,20240429,20571,20763,20093,20380,537601,10967
092870,¿¢½ÃÄÜ,20240430,20284,20763,20093,20141,415276,8430
092870,¿¢½ÃÄÜ,20240502,19997,21959,19758,20188,1166140,24016
092870,¿¢½ÃÄÜ,20240503,20380,20667,19232,19232,595139,11774
092870,¿¢½ÃÄÜ,20240507,19662,19710,19327,19423,315852,6167
092870,¿¢½ÃÄÜ,20240508,19327,19519,18945,19327,291884,5589
092870,¿¢½ÃÄÜ,20240509,19126,19280,18811,18811,291744,5528
092870,¿¢½ÃÄÜ,20240510,18849,19021,18256,18294,325878,6033
092870,¿¢½ÃÄÜ,20240513,18294,18610,17710,17969,328869,5917
092870,¿¢½ÃÄÜ,20240514,17988,18103,17768,17911,261569,4689
092870,¿¢½ÃÄÜ,20240516,18007,18294,17930,18074,318879,5767
092870,¿¢½ÃÄÜ,20240517,18007,18160,17471,17529,241456,4258
092870,¿¢½ÃÄÜ,20240520,17691,17691,17395,17519,142917,2500
092870,¿¢½ÃÄÜ,20240521,17605,17950,17481,17796,189816,3359
092870,¿¢½ÃÄÜ,20240522,17749,19519,17643,18275,1503066,28106
092870,¿¢½ÃÄÜ,20240523,18466,18524,17969,17988,352057,6423
092870,¿¢½ÃÄÜ,20240524,17691,18466,17643,18141,283571,5166
