code,name,date,open,high,low,close,volume,trade_value
240810,¿øÀÍIPS,20240417,37850,38300,36900,37050,436070,16384
240810,¿øÀÍIPS,20240418,36500,37750,36500,37300,442502,16477
240810,¿øÀÍIPS,20240419,36900,37350,35500,37100,544079,19775
240810,¿øÀÍIPS,20240422,36450,37400,36350,36600,336025,12321
240810,¿øÀÍIPS,20240423,37150,37250,35300,35500,417322,15075
240810,¿øÀÍIPS,20240424,36400,37100,35800,36100,374761,13651
240810,¿øÀÍIPS,20240425,35550,38650,35150,36950,592357,22207
240810,¿øÀÍIPS,20240426,37450,38150,36750,37050,331832,12384
240810,¿øÀÍIPS,20240429,37600,37750,36500,37500,288647,10695
240810,¿øÀÍIPS,20240430,37150,38100,36800,37450,198258,7436
240810,¿øÀÍIPS,20240502,36950,37050,36150,36750,299679,10935
240810,¿øÀÍIPS,20240503,37150,37450,36450,36700,193742,7142
240810,¿øÀÍIPS,20240507,37200,38800,37200,38200,473569,18082
240810,¿øÀÍIPS,20240508,37900,38400,37350,38250,255647,9688
240810,¿øÀÍIPS,20240509,38250,38750,37500,37500,418829,15744
240810,¿øÀÍIPS,20240510,35400,36700,34800,35200,772054,27521
240810,¿øÀÍIPS,20240513,35300,35350,33500,33900,397395,13545
240810,¿øÀÍIPS,20240514,33850,34150,33550,33850,213922,7241
240810,¿øÀÍIPS,20240516,34300,34900,34300,34650,261875,9071
240810,¿øÀÍIPS,20240517,34950,35100,33950,33950,186690,6445
240810,¿øÀÍIPS,20240520,34250,34350,33650,34100,134362,4565
240810,¿øÀÍIPS,20240521,34350,34850,34000,34300,166599,5732
240810,¿øÀÍIPS,20240522,34300,34800,33950,34500,155964,5376
240810,¿øÀÍIPS,20240523,34900,35850,34550,35450,366908,12979
240810,¿øÀÍIPS,20240524,34900,35150,33650,33900,240853,8244
240810,¿øÀÍIPS,20240527,34050,35650,33600,35500,304695,10619
240810,¿øÀÍIPS,20240528,35900,37500,35600,36150,554988,20389
240810,¿øÀÍIPS,20240529,36200,36500,35550,35700,206363,7436
240810,¿øÀÍIPS,20240530,35750,37200,35300,36650,330908,12060
240810,¿øÀÍIPS,20240531,36900,36900,35350,35400,203409,7276
240810,¿øÀÍIPS,20240603,35800,37300,35100,36850,297512,10929
240810,¿øÀÍIPS,20240604,36850,37200,35900,36100,178392,6535
240810,¿øÀÍIPS,20240605,37800,38200,36000,36700,403342,14932
240810,¿øÀÍIPS,20240607,37100,37650,36550,36850,274301,10197
240810,¿øÀÍIPS,20240610,36500,36950,36200,36800,153963,5624
240810,¿øÀÍIPS,20240611,36950,37100,35000,35100,356805,12685
240810,¿øÀÍIPS,20240612,35250,35500,34650,35150,240345,8419
240810,¿øÀÍIPS,20240613,35750,37500,35500,35850,585685,21274
240810,¿øÀÍIPS,20240614,36150,36650,35150,35300,278009,9932
240810,¿øÀÍIPS,20240617,35150,35300,34700,34950,137720,4821
240810,¿øÀÍIPS,20240618,35100,36950,35100,36950,407521,14798
240810,¿øÀÍIPS,20240619,37600,38900,36200,36500,748270,28048
240810,¿øÀÍIPS,20240620,36550,36800,35250,35350,270232,9643
240810,¿øÀÍIPS,20240621,34900,34900,33900,34400,397384,13628
240810,¿øÀÍIPS,20240624,34400,34500,33650,34000,174905,5923
240810,¿øÀÍIPS,20240625,33650,34450,33450,34450,168110,5716
240810,¿øÀÍIPS,20240626,34450,36000,34000,35700,354881,12546
240810,¿øÀÍIPS,20240627,35450,35900,35100,35200,126836,4495
240810,¿øÀÍIPS,20240628,35200,35400,34150,34800,154881,5383
240810,¿øÀÍIPS,20240701,34650,35700,34600,35350,191693,6781
240810,¿øÀÍIPS,20240702,35350,36250,35000,35550,227966,8115
240810,¿øÀÍIPS,20240703,35250,35500,34500,35500,181891,6362
240810,¿øÀÍIPS,20240704,35800,40300,35750,40100,2704553,104007
240810,¿øÀÍIPS,20240705,40250,40300,38900,39550,974049,38507
240810,¿øÀÍIPS,20240708,39150,39850,38950,39600,438195,17271
240810,¿øÀÍIPS,20240709,40150,40200,39150,39550,472749,18700
240810,¿øÀÍIPS,20240710,39200,39550,37750,38250,440908,16879
240810,¿øÀÍIPS,20240711,38500,38700,37950,38150,359590,13770
240810,¿øÀÍIPS,20240712,37250,37900,35550,36100,515347,18761
240810,¿øÀÍIPS,20240715,36100,37200,35850,37200,247758,9065
240810,¿øÀÍIPS,20240716,37000,38550,36800,38150,378192,14322
240810,¿øÀÍIPS,20240717,38950,39350,36550,36600,468722,17774
240810,¿øÀÍIPS,20240718,35500,36850,35100,36650,289748,10436
240810,¿øÀÍIPS,20240719,36800,37900,36100,36750,330568,12289
240810,¿øÀÍIPS,20240722,36650,36700,33600,34150,612119,21042
240810,¿øÀÍIPS,20240723,34950,36650,34750,34750,421576,14968
240810,¿øÀÍIPS,20240724,34600,35700,34250,35050,168246,5914
240810,¿øÀÍIPS,20240725,33850,34550,32850,33200,435550,14643
240810,¿øÀÍIPS,20240726,33250,34350,33000,34200,215021,7283
240810,¿øÀÍIPS,20240729,34600,35500,34050,35000,227487,7910
240810,¿øÀÍIPS,20240730,34800,35350,34200,35200,144309,5026
240810,¿øÀÍIPS,20240731,35150,38200,35000,37850,715298,26587
240810,¿øÀÍIPS,20240801,38200,38300,37000,37300,313162,11777
240810,¿øÀÍIPS,20240802,35500,35850,33500,33850,565807,19453
240810,¿øÀÍIPS,20240805,31700,32500,29850,30600,503604,15828
240810,¿øÀÍIPS,20240806,31100,33450,31100,32300,408683,13325
240810,¿øÀÍIPS,20240807,32100,33650,31750,32300,238480,7830
240810,¿øÀÍIPS,20240808,31550,34350,31400,34350,259650,8602
240810,¿øÀÍIPS,20240809,36250,36400,34150,34600,370527,13045
240810,¿øÀÍIPS,20240812,34450,36350,34450,35950,288623,10353
240810,¿øÀÍIPS,20240813,36500,37000,35850,36750,310901,11399
240810,¿øÀÍIPS,20240814,37550,37900,36450,36950,188524,6974
240810,¿øÀÍIPS,20240816,37800,37850,37000,37350,202558,7579
240810,¿øÀÍIPS,20240819,37000,37650,36750,37150,130841,4870
240810,¿øÀÍIPS,20240820,37550,38200,37000,37250,168636,6316
240810,¿øÀÍIPS,20240821,36850,38500,36800,37500,259400,9781
