code,name,date,open,high,low,close,volume,trade_value
036930,주성엔지니어링,20240417,35400,36150,34400,34450,723403,25501
036930,주성엔지니어링,20240418,34200,35100,34050,34950,667127,23022
036930,주성엔지니어링,20240419,34400,34500,31950,33250,1189481,39177
036930,주성엔지니어링,20240422,32500,32700,31650,32500,798443,25596
036930,주성엔지니어링,20240423,32850,33050,32050,32050,423282,13774
036930,주성엔지니어링,20240424,32900,33900,32700,33150,636052,21186
036930,주성엔지니어링,20240425,33150,37200,33100,34450,3216993,114452
036930,주성엔지니어링,20240426,35550,36350,34800,35050,1166029,41299
036930,주성엔지니어링,20240429,35550,36150,34150,34150,719930,25018
036930,주성엔지니어링,20240430,34250,35200,33300,34900,589661,20480
036930,주성엔지니어링,20240502,34800,36000,34250,35300,705406,24761
036930,주성엔지니어링,20240503,34200,34850,32100,34350,2296468,77103
036930,주성엔지니어링,20240507,35100,35850,34650,34950,786295,27731
036930,주성엔지니어링,20240508,34650,34900,34100,34850,378591,13064
036930,주성엔지니어링,20240509,35100,35100,33300,33600,633339,21397
036930,주성엔지니어링,20240510,33300,33450,32100,32200,705256,22929
036930,주성엔지니어링,20240513,32000,32600,31850,32250,426539,13717
036930,주성엔지니어링,20240514,32100,32600,32000,32400,290959,9406
036930,주성엔지니어링,20240516,33500,33750,32900,33350,709145,23703
036930,주성엔지니어링,20240517,33500,33650,32650,32750,301100,9945
036930,주성엔지니어링,20240520,32750,33200,32350,32750,240742,7870
036930,주성엔지니어링,20240521,32750,32900,32100,32700,269718,8753
036930,주성엔지니어링,20240522,32800,33700,32350,33600,445261,14822
036930,주성엔지니어링,20240523,34400,34400,33200,33300,477253,16041
036930,주성엔지니어링,20240524,32700,33700,32700,33650,326993,10900
036930,주성엔지니어링,20240527,33750,34050,32600,33450,575442,19096
036930,주성엔지니어링,20240528,33250,34400,33100,33500,698079,23712
036930,주성엔지니어링,20240529,33800,34350,33100,33750,1186584,40152
036930,주성엔지니어링,20240530,33600,33750,32550,32850,399917,13155
036930,주성엔지니어링,20240531,32850,33150,32250,32750,850125,27795
036930,주성엔지니어링,20240603,32600,33000,32350,32600,318011,10380
036930,주성엔지니어링,20240604,32600,33050,31500,31850,402924,13001
036930,주성엔지니어링,20240605,32250,36800,31950,33450,7421340,259095
036930,주성엔지니어링,20240607,33800,35650,33700,35500,2048487,71532
036930,주성엔지니어링,20240610,34150,34650,33700,34200,959512,32751
036930,주성엔지니어링,20240611,34550,34600,33750,33850,479074,16300
036930,주성엔지니어링,20240612,34400,36450,34200,36050,1717401,61108
036930,주성엔지니어링,20240613,36600,36600,35150,36100,1370444,49407
036930,주성엔지니어링,20240614,36300,36350,34300,34400,818460,28694
036930,주성엔지니어링,20240617,34500,35400,34050,34750,511708,17816
036930,주성엔지니어링,20240618,35400,36450,35050,35700,786648,28169
036930,주성엔지니어링,20240619,36250,36800,35550,36600,956744,34669
036930,주성엔지니어링,20240620,36750,38250,34800,35050,1737159,63414
036930,주성엔지니어링,20240621,34650,35300,34400,34800,553385,19192
036930,주성엔지니어링,20240624,34500,34800,33500,33800,622635,21096
036930,주성엔지니어링,20240625,33200,34050,32800,33900,385452,12903
036930,주성엔지니어링,20240626,34400,34950,34000,34100,324550,11155
036930,주성엔지니어링,20240627,34100,35350,33500,34700,583751,20251
036930,주성엔지니어링,20240628,35350,39050,34600,37350,3903775,145760
036930,주성엔지니어링,20240701,36950,38750,36850,38300,1467244,55861
036930,주성엔지니어링,20240702,38550,39300,37350,37650,1138740,43427
036930,주성엔지니어링,20240703,37700,38600,36450,37800,945466,35362
036930,주성엔지니어링,20240704,38200,38500,36550,37150,1303354,48759
036930,주성엔지니어링,20240705,37250,37650,34850,35250,1265871,45452
036930,주성엔지니어링,20240708,35500,35800,34600,35100,881328,30986
036930,주성엔지니어링,20240709,35350,36400,35000,35800,888983,31844
036930,주성엔지니어링,20240710,35650,35700,34650,35550,729699,25643
036930,주성엔지니어링,20240711,37100,37150,35850,36250,1604821,58551
036930,주성엔지니어링,20240712,35250,35850,34800,35000,674671,23707
036930,주성엔지니어링,20240715,35000,35150,34500,34600,367817,12765
036930,주성엔지니어링,20240716,34600,34950,34400,34600,377497,13062
