code,name,date,open,high,low,close,volume,trade_value
064760,티씨케이,20250321,92500,94000,90700,90700,63350,5847
064760,티씨케이,20250324,90600,91300,88500,89100,24945,2243
064760,티씨케이,20250325,88300,90100,84700,85700,37316,3224
064760,티씨케이,20250326,86500,87300,84600,86000,26723,2300
064760,티씨케이,20250327,85600,85600,83600,84900,16702,1415
064760,티씨케이,20250328,84500,84700,82400,83800,20610,1715
064760,티씨케이,20250331,82400,82500,78800,79600,49088,3943
064760,티씨케이,20250401,79600,84700,77400,84400,42562,3454
064760,티씨케이,20250402,84700,90400,83000,89900,75421,6667
064760,티씨케이,20250403,87000,87400,84700,87300,30998,2683
064760,티씨케이,20250404,86000,86800,81600,84000,39202,3289
064760,티씨케이,20250407,80000,82400,79300,80900,37844,3059
064760,티씨케이,20250408,83000,83500,78900,79600,34114,2762
064760,티씨케이,20250409,80400,80400,76500,78000,23323,1827
064760,티씨케이,20250410,83600,85300,80700,85300,47592,3962
064760,티씨케이,20250411,82500,83300,79900,82200,42348,3453
064760,티씨케이,20250414,81800,85700,81800,84400,31353,2648
064760,티씨케이,20250415,83800,86600,83800,85800,16363,1402
064760,티씨케이,20250416,84800,85000,81100,82200,26953,2225
064760,티씨케이,20250417,82000,83600,81400,83400,17203,1424
064760,티씨케이,20250418,82200,83400,81500,83000,14668,1212
064760,티씨케이,20250421,82300,84900,82100,84100,19213,1609
064760,티씨케이,20250422,84000,84000,81400,82300,18435,1522
064760,티씨케이,20250423,83400,89400,83400,88900,50967,4455
064760,티씨케이,20250424,88000,88700,85500,87300,32052,2782
064760,티씨케이,20250425,87900,91000,86800,89300,35519,3148
064760,티씨케이,20250428,89600,90200,86000,86900,36569,3193
064760,티씨케이,20250429,86900,87500,85600,86300,19907,1722
064760,티씨케이,20250430,85200,86900,85200,85700,19407,1668
064760,티씨케이,20250502,85400,86500,84500,84800,22525,1921
064760,티씨케이,20250507,85600,89000,85300,88100,41017,3593
064760,티씨케이,20250508,88000,88900,86600,87000,23636,2069
064760,티씨케이,20250509,87000,87400,85200,85800,20027,1717
064760,티씨케이,20250512,87000,94600,86300,94200,78239,7141
064760,티씨케이,20250513,96000,96200,92400,94000,34353,3235
064760,티씨케이,20250514,97000,98500,96100,97100,35866,3495
064760,티씨케이,20250515,95300,96900,94600,95400,48491,4636
064760,티씨케이,20250516,95400,95400,90300,91300,43334,4020
064760,티씨케이,20250519,90400,90700,88400,90300,23034,2066
064760,티씨케이,20250520,90300,91700,88700,89900,19796,1780
064760,티씨케이,20250521,89900,90200,88500,89800,23026,2064
064760,티씨케이,20250522,90300,90300,84300,85000,39893,3440
064760,티씨케이,20250523,86200,86700,84800,85300,14294,1223
064760,티씨케이,20250526,85300,87800,84500,86300,15399,1334
064760,티씨케이,20250527,85600,88300,84900,87100,25517,2216
064760,티씨케이,20250528,87500,89000,86800,87300,38386,3364
064760,티씨케이,20250529,88900,91600,88200,91500,40210,3647
064760,티씨케이,20250530,89700,91200,87600,87600,32283,2867
064760,티씨케이,20250602,87500,90100,87200,89200,19450,1735
