code,name,date,open,high,low,close,volume,trade_value
084370,유진테크,20250321,44000,45200,43800,45000,182873,8180
084370,유진테크,20250324,45000,45100,43650,43900,55123,2440
084370,유진테크,20250325,44150,44650,41400,42000,145254,6129
084370,유진테크,20250326,42000,42550,39700,40700,200162,8164
084370,유진테크,20250327,40050,40800,39550,39700,69732,2782
084370,유진테크,20250328,39350,39900,38800,39200,69942,2745
084370,유진테크,20250331,38450,38700,37650,38150,123723,4708
084370,유진테크,20250401,38450,39850,38050,39550,72097,2818
084370,유진테크,20250402,40050,40100,38100,38850,84715,3287
084370,유진테크,20250403,37750,38400,37050,38250,90393,3424
084370,유진테크,20250404,37000,37500,33650,34450,394497,13864
084370,유진테크,20250407,32750,34450,32100,32450,192206,6300
084370,유진테크,20250408,34000,34100,32300,32600,80324,2644
084370,유진테크,20250409,32500,32800,31800,32200,71410,2297
084370,유진테크,20250410,35000,35500,34200,35300,166739,5826
084370,유진테크,20250411,34400,34400,33100,34150,194754,6565
084370,유진테크,20250414,34550,34850,33850,34350,61762,2118
084370,유진테크,20250415,34150,35200,34050,34600,72462,2514
084370,유진테크,20250416,34200,34200,33000,33150,73511,2462
084370,유진테크,20250417,33100,33750,32850,33400,51049,1703
084370,유진테크,20250418,33500,33550,32850,33500,53850,1785
084370,유진테크,20250421,33350,34300,33150,33450,75635,2539
084370,유진테크,20250422,32950,33200,32250,32350,116570,3810
084370,유진테크,20250423,33200,34750,32900,34600,129097,4402
084370,유진테크,20250424,34650,34850,33700,34450,85616,2940
084370,유진테크,20250425,34900,35450,34750,35100,92221,3232
084370,유진테크,20250428,35200,35350,33650,33950,120098,4093
084370,유진테크,20250429,34150,34650,33950,34200,73860,2533
084370,유진테크,20250430,34600,34600,33700,34000,76123,2592
084370,유진테크,20250502,33750,34600,33600,34200,60725,2079
084370,유진테크,20250507,34500,34550,34000,34300,69181,2364
084370,유진테크,20250508,34650,34950,33800,34000,93357,3194
084370,유진테크,20250509,34200,34450,33550,33700,58901,1989
084370,유진테크,20250512,34100,36000,33800,35950,160635,5601
084370,유진테크,20250513,36650,38500,35700,36250,184171,6797
084370,유진테크,20250514,37400,37500,36700,37150,103476,3846
084370,유진테크,20250515,36800,37200,32800,33350,648471,22034
084370,유진테크,20250516,33600,33700,32950,33600,127788,4265
084370,유진테크,20250519,33000,33000,31500,32000,244768,7799
084370,유진테크,20250520,32450,32800,31900,31950,113221,3640
084370,유진테크,20250521,32000,32250,31650,32100,123912,3970
084370,유진테크,20250522,32100,32100,31400,31550,102672,3247
084370,유진테크,20250523,31800,31800,31050,31150,98256,3067
084370,유진테크,20250526,31050,32350,30850,32100,82990,2650
084370,유진테크,20250527,32100,32100,31700,32000,50904,1622
084370,유진테크,20250528,32500,32600,32000,32250,122780,3971
084370,유진테크,20250529,32900,33450,32450,33350,202486,6704
084370,유진테크,20250530,33000,33700,32400,32450,129364,4259
084370,유진테크,20250602,32400,33000,32200,32650,70716,2313
084370,유진테크,20250604,33350,33800,32750,32950,130734,4352
084370,유진테크,20250605,33600,34500,33050,34000,200762,6825
084370,유진테크,20250609,34850,35100,34200,34300,150046,5186
084370,유진테크,20250610,34550,34650,33900,34550,106119,3638
084370,유진테크,20250611,34900,37750,34750,37200,368608,13485
084370,유진테크,20250612,36750,36950,36050,36750,184366,6729
084370,유진테크,20250613,36700,36800,33700,35750,145504,5188
084370,유진테크,20250616,36000,36000,34800,35500,80318,2841
084370,유진테크,20250617,36050,37550,35700,36350,180880,6627
084370,유진테크,20250618,36400,37800,36100,37500,166935,6220
084370,유진테크,20250619,38100,38150,37150,37400,98194,3683
084370,유진테크,20250620,37750,38650,37550,38600,209634,8035
084370,유진테크,20250623,37400,37800,36950,37550,98265,3671
084370,유진테크,20250624,38400,39450,37950,39100,120156,4675
084370,유진테크,20250625,40050,40450,39250,39700,187883,7457
084370,유진테크,20250626,40500,40900,39600,39650,141486,5671
084370,유진테크,20250627,40450,40500,38650,39100,119564,4678
084370,유진테크,20250630,39550,39600,38600,39100,70516,2755
084370,유진테크,20250701,38750,39050,38300,38700,124045,4795
084370,유진테크,20250702,38350,38350,37350,37800,133082,5011
084370,유진테크,20250703,38950,44100,37900,43050,574667,24338
084370,유진테크,20250704,44650,44700,41900,43050,199196,8554
084370,유진테크,20250707,42150,42800,41650,42550,85000,3594
