code,name,date,open,high,low,close,volume,trade_value
095340,ISC,20250321,62600,65800,61400,64200,288765,18655
095340,ISC,20250324,64200,64200,62300,62400,86446,5445
095340,ISC,20250325,63200,63400,60000,60300,97904,5984
095340,ISC,20250326,60700,61900,59200,61100,72698,4407
095340,ISC,20250327,59600,60300,57900,58300,140807,8259
095340,ISC,20250328,57800,58300,54800,55300,193998,10769
095340,ISC,20250331,53500,54000,51500,51800,210526,11026
095340,ISC,20250401,52600,53400,51200,52700,155998,8214
095340,ISC,20250402,53000,54200,52200,53700,93898,5002
095340,ISC,20250403,51200,53000,50000,51300,201079,10349
095340,ISC,20250404,50700,52100,48500,49900,255770,12747
095340,ISC,20250407,47100,47750,45050,45200,211403,9766
095340,ISC,20250408,47150,47950,45100,45550,169087,7881
095340,ISC,20250409,44900,45600,42800,43600,268557,11746
095340,ISC,20250410,48750,48750,47500,47950,209731,10067
095340,ISC,20250411,46450,49400,46250,49050,138011,6648
095340,ISC,20250414,50100,50700,48650,48900,127878,6323
095340,ISC,20250415,48850,50800,48500,49750,133785,6718
095340,ISC,20250416,48700,49100,47400,47500,179405,8619
095340,ISC,20250417,47000,48450,46750,48150,112513,5387
095340,ISC,20250418,47850,48900,47500,48800,66494,3202
095340,ISC,20250421,48500,50700,48400,49500,135696,6755
095340,ISC,20250422,49050,49600,48650,48750,92380,4528
095340,ISC,20250423,50300,52000,49800,51700,190398,9750
095340,ISC,20250424,52500,52900,51100,51400,98563,5110
095340,ISC,20250425,52800,53700,52300,52900,145375,7688
095340,ISC,20250428,52300,52300,50200,50700,122927,6244
095340,ISC,20250429,50800,51500,50200,50800,97070,4935
095340,ISC,20250430,50400,50900,49000,49550,84876,4208
095340,ISC,20250502,49700,52200,49250,51800,144182,7438
095340,ISC,20250507,52900,52900,51700,52400,105174,5516
095340,ISC,20250508,53500,55000,53400,54100,164338,8917
095340,ISC,20250509,54700,54700,53100,53600,74214,3990
095340,ISC,20250512,54500,55000,53400,54900,87866,4782
095340,ISC,20250513,55800,56100,54400,55800,144315,7988
095340,ISC,20250514,57000,57600,56100,57000,127779,7267
095340,ISC,20250515,56600,56800,52800,53000,223216,12106
095340,ISC,20250516,52900,53600,51800,52400,129784,6805
095340,ISC,20250519,50700,51200,49700,50100,195048,9768
095340,ISC,20250520,50900,51500,50000,50200,65449,3313
095340,ISC,20250521,50100,51200,50100,50800,53588,2721
095340,ISC,20250522,50100,50200,48500,49150,145775,7136
095340,ISC,20250523,49600,50000,49100,49500,39338,1955
095340,ISC,20250526,49800,51900,49450,51300,108034,5500
095340,ISC,20250527,51000,51000,49600,50500,60712,3053
095340,ISC,20250528,51400,51900,50800,51300,72414,3722
095340,ISC,20250529,52800,52900,50400,51400,111273,5737
095340,ISC,20250530,50900,52300,50100,50800,121697,6223
095340,ISC,20250602,50500,51200,49750,49950,74618,3749
095340,ISC,20250604,51300,52900,51000,51600,142646,7433
095340,ISC,20250605,52000,56900,51600,55200,260053,14319
095340,ISC,20250609,56300,57000,53600,54100,227272,12571
095340,ISC,20250610,55100,55900,53100,53200,129116,7020
095340,ISC,20250611,54200,57900,54200,56700,354773,20111
095340,ISC,20250612,56800,56900,55100,55100,156667,8745
095340,ISC,20250613,55300,55600,52100,53000,181961,9654
095340,ISC,20250616,52500,53300,51700,53000,88683,4661
095340,ISC,20250617,53600,55200,52100,53200,165995,8909
095340,ISC,20250618,52800,53700,52300,53200,89761,4749
095340,ISC,20250619,53700,54400,52800,53500,100180,5358
095340,ISC,20250620,53800,54100,52800,53400,111526,5936
095340,ISC,20250623,52000,52500,50200,51300,139515,7105
095340,ISC,20250624,52600,54200,52500,53400,113135,6049
095340,ISC,20250625,56400,62000,54700,62000,808376,48069
095340,ISC,20250626,63000,63200,60500,62000,355233,21870
095340,ISC,20250627,62200,62300,58700,59400,199594,11955
095340,ISC,20250630,60000,61200,58000,59800,155114,9266
095340,ISC,20250701,61000,61100,58500,58700,190334,11294
095340,ISC,20250702,58200,59300,57300,57800,133893,7757
095340,ISC,20250703,59400,61800,58800,61300,219280,13301
095340,ISC,20250704,61300,61900,60200,60600,148485,9073
095340,ISC,20250707,59500,62400,59200,61100,151144,9279
095340,ISC,20250708,60300,61600,59500,60500,113431,6865
095340,ISC,20250709,61000,61500,59800,60200,127761,7764
095340,ISC,20250710,61300,63400,59500,59600,235329,14360
095340,ISC,20250711,59600,62200,59000,60800,183801,11216
095340,ISC,20250714,61000,63600,59800,63000,205032,12789
095340,ISC,20250715,62200,65900,62000,65700,256883,16482
095340,ISC,20250716,66200,66200,63800,64500,161498,10480
095340,ISC,20250717,64100,64400,59600,59800,364016,22107
095340,ISC,20250718,60500,61500,59850,61500,135513,8232
095340,ISC,20250721,61200,61700,60700,61100,83408,5102
095340,ISC,20250722,61300,61300,58400,58900,161300,9533
095340,ISC,20250723,58900,59200,56700,58500,142105,8235
095340,ISC,20250724,59500,60100,58700,58900,96253,5713
095340,ISC,20250725,59000,59100,57700,58300,75724,4409
095340,ISC,20250728,58700,62600,58100,61300,301273,18312
095340,ISC,20250729,61300,61800,59200,59500,131024,7826
095340,ISC,20250730,59500,61700,56200,57800,299695,17456
095340,ISC,20250731,59500,61600,57700,60500,231498,13973
095340,ISC,20250801,59200,60300,58100,58200,137039,8098
095340,ISC,20250804,58100,58500,57300,58000,63506,3676
095340,ISC,20250805,59400,60600,58900,59400,100010,5963
095340,ISC,20250806,58700,58900,58100,58400,57188,3340
095340,ISC,20250807,59500,59600,58200,59400,80948,4776
095340,ISC,20250808,59500,61600,59100,59500,145688,8811
095340,ISC,20250811,60100,60400,59500,60100,60073,3602
095340,ISC,20250812,60000,60000,58400,58400,95919,5671
095340,ISC,20250813,59200,65100,59100,64400,729093,46180
095340,ISC,20250814,64000,65800,63100,64400,141571,9091
095340,ISC,20250818,62800,63000,60500,61100,119167,7304
095340,ISC,20250819,61100,61800,60100,61000,82090,5000
095340,ISC,20250820,59400,59500,58000,58700,117211,6858
095340,ISC,20250821,58900,59300,57000,57200,134916,7798
095340,ISC,20250822,57300,58000,57000,57300,49725,2858
095340,ISC,20250825,58000,58400,57600,57900,65119,3773
095340,ISC,20250826,58200,58900,57800,58400,63910,3730
095340,ISC,20250827,58500,58600,57400,57900,87273,5039
095340,ISC,20250828,57400,59200,57300,58100,88781,5196
095340,ISC,20250829,58800,59500,58100,58200,82928,4868
095340,ISC,20250901,57400,57600,56200,56600,110982,6294
095340,ISC,20250902,56800,57000,55100,55500,95031,5305
095340,ISC,20250903,55500,57800,55200,57700,72192,4109
095340,ISC,20250904,57700,64400,57500,63300,582466,36473
095340,ISC,20250905,62700,65600,62300,64600,283452,18328
095340,ISC,20250908,66000,68500,65000,67400,252547,16876
095340,ISC,20250909,68000,68200,66300,67700,119767,8082
095340,ISC,20250910,68300,69800,67900,68500,163382,11235
095340,ISC,20250911,69700,69800,67500,69000,182949,12510
095340,ISC,20250912,70300,70900,67800,68600,166941,11476
095340,ISC,20250915,69900,70900,69500,70600,208818,14686
095340,ISC,20250916,73000,76200,72200,75100,409971,30600
095340,ISC,20250917,72900,74400,72300,73700,174681,12811
095340,ISC,20250918,74200,76700,72100,74800,267952,20150
095340,ISC,20250919,77000,78600,75100,76700,251479,19283
095340,ISC,20250922,77700,79500,76100,78700,227906,17809
095340,ISC,20250923,80500,81000,77200,79500,187006,14777
095340,ISC,20250924,78400,80500,77200,80300,191461,15078
095340,ISC,20250925,78400,79300,77600,78300,191506,15011
095340,ISC,20250926,76400,78300,75900,77000,155457,11957
095340,ISC,20250929,77300,80600,76500,79000,200436,15938
095340,ISC,20250930,79200,80500,76900,77800,115168,8999
095340,ISC,20251001,78000,81450,77700,79900,168343,13470
095340,ISC,20251002,81800,82400,80900,81000,245053,19975
095340,ISC,20251010,83600,84700,79500,80700,253632,20643
095340,ISC,20251013,78000,81400,77600,81200,186652,14887
095340,ISC,20251014,82900,83600,76700,79200,252912,20266
095340,ISC,20251015,79800,80900,78300,80600,131254,10457
095340,ISC,20251016,79500,85000,78800,84600,297950,24801
095340,ISC,20251017,82800,85000,79000,79000,296919,24000
095340,ISC,20251020,80900,83400,78900,79600,199260,16054
095340,ISC,20251021,80400,80500,76000,76900,210019,16434
095340,ISC,20251022,76900,78500,76100,78200,143575,11101
095340,ISC,20251023,77100,79100,76100,78200,96702,7540
095340,ISC,20251024,79300,81000,78700,80300,137423,10983
095340,ISC,20251027,81900,82000,78700,80000,214006,17014
095340,ISC,20251028,79900,80800,78700,79500,120579,9589
095340,ISC,20251029,79800,80100,77900,79500,123580,9773
095340,ISC,20251030,79000,79900,77300,79900,155995,12306
095340,ISC,20251031,79500,80400,78600,79700,92500,7325
095340,ISC,20251103,79100,81500,78400,80600,201227,16134
095340,ISC,20251104,81200,82400,79900,81500,252249,20483
095340,ISC,20251105,79300,79300,69700,74000,550489,40236
095340,ISC,20251106,76600,81200,76500,80000,477651,38079
095340,ISC,20251107,77900,78400,75100,76500,179435,13684
095340,ISC,20251110,77200,80000,74500,79700,240757,18774
095340,ISC,20251111,80200,82300,78000,79100,194830,15550
095340,ISC,20251112,78700,79900,77500,78800,144977,11409
095340,ISC,20251113,78200,79100,76300,77300,167026,12923
095340,ISC,20251114,74300,75100,72900,74000,188929,14032
095340,ISC,20251117,76000,83500,75900,83200,386577,31207
095340,ISC,20251118,80900,92000,80600,88100,911185,80526
095340,ISC,20251119,87100,91800,84300,88300,430336,38256
095340,ISC,20251120,90000,91600,87000,88000,213202,18935
095340,ISC,20251121,83500,84600,79400,80300,212322,17219
095340,ISC,20251124,81600,89000,80700,88200,357135,30945
095340,ISC,20251125,94800,113500,93600,102600,1462890,151153
095340,ISC,20251126,109000,111700,101500,104300,522452,55209
095340,ISC,20251127,104200,107200,102300,103000,254364,26521
095340,ISC,20251128,103600,113500,101600,111900,491658,53124
095340,ISC,20251201,111200,117900,106200,111100,536861,60028
095340,ISC,20251202,111400,112900,109400,110800,219928,24419
095340,ISC,20251203,111500,116400,111500,114000,276522,31587
095340,ISC,20251204,110500,114500,107100,110300,285798,31282
095340,ISC,20251205,108200,109800,107200,109500,181976,19713
095340,ISC,20251208,109100,110300,105600,110100,228134,24591
095340,ISC,20251209,109400,110700,108300,109700,107778,11821
095340,ISC,20251210,108700,112500,107300,107900,133239,14609
095340,ISC,20251211,109000,111300,107000,108800,143803,15634
095340,ISC,20251212,105600,107700,104500,106400,187871,19965
095340,ISC,20251215,101000,103900,100300,103000,193884,19884
095340,ISC,20251216,102000,102100,98100,98500,169259,16792
095340,ISC,20251217,99100,100900,97300,100000,99132,9872
095340,ISC,20251218,97500,99200,96400,98200,109951,10758
095340,ISC,20251219,101000,103800,99300,101400,190430,19375
095340,ISC,20251222,106000,109000,104900,106700,197299,21149
095340,ISC,20251223,106700,110300,106400,107300,128729,13915
095340,ISC,20251224,107200,108400,103500,105500,116823,12298
095340,ISC,20251226,106700,109000,104400,105100,129506,13819
095340,ISC,20251229,107500,111000,104600,109000,151089,16379
095340,ISC,20251230,107800,113800,107000,111100,202645,22602
095340,ISC,20260102,113000,120000,111700,120000,308210,36203
095340,ISC,20260105,122000,122600,110900,112200,473865,53977
095340,ISC,20260106,110200,117300,107600,116600,256761,29013
095340,ISC,20260107,115700,116400,108300,109600,224832,24935
095340,ISC,20260108,107600,112400,107400,111100,173917,19220
095340,ISC,20260109,108900,113000,108200,109500,136726,15095
095340,ISC,20260112,110400,113000,107200,109100,138617,15165
095340,ISC,20260113,108900,110600,107600,108900,93233,10123
095340,ISC,20260114,108100,110300,105100,107200,117151,12586
095340,ISC,20260115,105700,106100,103200,105500,199779,20857
095340,ISC,20260116,107700,108300,103600,105300,175195,18408
095340,ISC,20260119,103900,104900,102200,102700,169668,17473
095340,ISC,20260120,102500,102500,98300,99300,242604,24191
095340,ISC,20260121,98700,100500,97500,99800,196634,19540
095340,ISC,20260122,102600,107300,99900,106300,338453,35467
095340,ISC,20260123,104100,105000,101000,104300,288910,29809
095340,ISC,20260126,106000,113400,105700,112900,395748,43622
095340,ISC,20260127,111500,117900,110500,117900,311966,35946
095340,ISC,20260128,124900,131600,122000,131600,479477,60497
095340,ISC,20260129,138900,143100,123300,138700,485781,66145
095340,ISC,20260130,138100,157100,134800,150700,390575,58811
095340,ISC,20260202,144100,149300,135700,137200,276855,39019
095340,ISC,20260203,145800,150500,139600,149700,273920,39859
095340,ISC,20260204,148000,152000,138500,143100,334146,47768
095340,ISC,20260205,139300,157100,136500,148800,493400,73617
095340,ISC,20260206,144900,164000,138400,163500,490259,76587
095340,ISC,20260209,170000,176300,159800,175800,372851,62615
095340,ISC,20260210,174500,180000,166600,168900,169652,28927
095340,ISC,20260211,165500,179700,158000,169600,240914,40666
095340,ISC,20260212,170600,178000,170300,175600,210181,36544
