code,name,date,open,high,low,close,volume,trade_value
240810,원익IPS,20250321,26250,26750,26050,26650,282882,7492
240810,원익IPS,20250324,26600,26750,26150,26400,135519,3581
240810,원익IPS,20250325,26300,26600,25300,25550,168667,4340
240810,원익IPS,20250326,25800,26050,25300,25950,197049,5050
240810,원익IPS,20250327,25450,25850,25250,25750,133984,3426
240810,원익IPS,20250328,25900,25900,24600,24650,152781,3802
240810,원익IPS,20250331,24150,24600,24000,24200,324208,7889
240810,원익IPS,20250401,24250,24850,24050,24600,198923,4883
240810,원익IPS,20250402,24950,25150,24000,24200,175222,4250
240810,원익IPS,20250403,23350,23500,22400,23400,313784,7245
240810,원익IPS,20250404,23350,23900,22600,23050,238758,5543
240810,원익IPS,20250407,22000,22900,22000,22400,281851,6328
240810,원익IPS,20250408,22950,23200,21400,21550,307529,6786
240810,원익IPS,20250409,21200,21650,20800,21050,207001,4382
240810,원익IPS,20250410,23150,23250,22150,22500,423420,9523
240810,원익IPS,20250411,22000,22300,20850,21750,1201802,25695
240810,원익IPS,20250414,22400,22600,22050,22400,254727,5677
240810,원익IPS,20250415,22250,22950,22200,22600,127493,2886
240810,원익IPS,20250416,22300,22450,22000,22100,135059,2995
240810,원익IPS,20250417,22100,22600,22000,22500,103318,2314
240810,원익IPS,20250418,22300,22500,22000,22500,97572,2173
240810,원익IPS,20250421,22300,22950,22200,22300,131746,2960
240810,원익IPS,20250422,22050,22300,21750,21850,192986,4228
240810,원익IPS,20250423,22150,23000,22150,22950,159139,3611
240810,원익IPS,20250424,23200,23200,22600,23000,153245,3523
240810,원익IPS,20250425,23200,23500,22950,23300,116408,2697
240810,원익IPS,20250428,23500,23500,23000,23100,95575,2217
240810,원익IPS,20250429,23100,23300,23000,23050,86089,1990
240810,원익IPS,20250430,22850,23200,22500,22700,130028,2951
240810,원익IPS,20250502,22650,22950,22500,22700,108620,2464
240810,원익IPS,20250507,22900,23350,22750,22900,189365,4350
240810,원익IPS,20250508,23250,23400,22850,23350,251646,5827
240810,원익IPS,20250509,23400,23450,21500,21800,637806,13988
240810,원익IPS,20250512,22050,22500,21900,22500,318124,7083
240810,원익IPS,20250513,22950,23100,22650,22850,155824,3565
240810,원익IPS,20250514,23050,23400,22800,23300,165876,3850
240810,원익IPS,20250515,23100,23400,22600,22750,138093,3159
240810,원익IPS,20250516,22700,23100,22600,23050,122634,2808
240810,원익IPS,20250519,22550,22700,22200,22450,151618,3389
240810,원익IPS,20250520,22600,22700,22100,22150,141910,3167
240810,원익IPS,20250521,22150,22350,21900,22000,175589,3869
240810,원익IPS,20250522,21800,21850,21300,21550,146929,3158
240810,원익IPS,20250523,21550,21600,20900,20950,217076,4566
240810,원익IPS,20250526,21200,21850,21100,21600,141508,3048
240810,원익IPS,20250527,21400,21650,21200,21550,133097,2847
240810,원익IPS,20250528,21750,22100,21350,22100,215612,4710
240810,원익IPS,20250529,22350,22700,22200,22650,213638,4790
240810,원익IPS,20250530,22400,23200,22150,22800,292771,6718
240810,원익IPS,20250602,22700,23300,22500,22850,145554,3333
240810,원익IPS,20250604,23350,23750,23100,23250,207538,4835
240810,원익IPS,20250605,23500,24300,23200,23750,227905,5429
240810,원익IPS,20250609,24000,24300,23900,24000,200016,4813
240810,원익IPS,20250610,24150,24300,23700,24000,126527,3032
240810,원익IPS,20250611,24150,26750,24150,26500,772615,20099
240810,원익IPS,20250612,26600,26850,25950,25950,410980,10785
240810,원익IPS,20250613,26150,26300,24800,25100,318916,8024
240810,원익IPS,20250616,25150,25350,24400,25050,272068,6727
240810,원익IPS,20250617,25400,26800,25000,25850,405257,10611
240810,원익IPS,20250618,25700,26200,25500,25950,180263,4666
240810,원익IPS,20250619,26300,26300,25550,25700,119571,3075
240810,원익IPS,20250620,25750,26200,25500,26050,193727,5035
240810,원익IPS,20250623,25200,25950,24850,25600,215228,5446
240810,원익IPS,20250624,26150,26650,25900,26300,199990,5277
240810,원익IPS,20250625,27000,27400,26550,27300,257871,6982
240810,원익IPS,20250626,27600,27800,26650,26800,188032,5120
240810,원익IPS,20250627,27300,27550,26100,26350,195218,5175
240810,원익IPS,20250630,26650,26800,26200,26450,154276,4081
240810,원익IPS,20250701,26850,26900,26350,26550,166056,4424
240810,원익IPS,20250702,26600,26850,25850,26450,140765,3710
240810,원익IPS,20250703,26700,29200,26550,28950,582168,16579
240810,원익IPS,20250704,29500,29500,28000,28400,309829,8806
240810,원익IPS,20250707,28400,28550,27850,28100,146769,4129
240810,원익IPS,20250708,27650,28350,26950,27800,275322,7589
240810,원익IPS,20250709,27900,27950,27300,27450,169458,4660
240810,원익IPS,20250710,27750,27950,27000,27100,248936,6809
240810,원익IPS,20250711,27150,29050,27150,28400,416173,11844
240810,원익IPS,20250714,28400,28450,27800,28000,141353,3960
240810,원익IPS,20250715,27700,29300,27550,29150,214524,6136
240810,원익IPS,20250716,29100,29900,28600,29500,281084,8279
240810,원익IPS,20250717,29400,30350,28700,30100,393528,11698
240810,원익IPS,20250718,30100,30400,28700,29000,284384,8260
240810,원익IPS,20250721,28700,29500,28650,29250,164069,4806
240810,원익IPS,20250722,29250,29350,28000,28150,187442,5317
240810,원익IPS,20250723,27950,28150,27250,28050,150472,4175
240810,원익IPS,20250724,28300,28350,27350,27500,144104,3983
240810,원익IPS,20250725,27300,27650,27250,27300,67260,1841
240810,원익IPS,20250728,28150,31750,28150,31500,1326591,40376
240810,원익IPS,20250729,33900,33900,31950,33300,1202283,39588
240810,원익IPS,20250730,32900,34350,32900,33100,682339,22888
240810,원익IPS,20250731,33500,33600,32150,32750,417689,13696
240810,원익IPS,20250801,31550,32300,30550,30650,364097,11331
240810,원익IPS,20250804,30750,31100,30350,30700,194430,5967
240810,원익IPS,20250805,31150,31500,30550,30650,162649,5019
240810,원익IPS,20250806,30250,30550,30000,30500,161128,4887
240810,원익IPS,20250807,33250,33300,30700,31700,1246386,39742
240810,원익IPS,20250808,32300,36600,32000,35850,2431714,85638
240810,원익IPS,20250811,35650,38100,35600,37450,979262,36380
240810,원익IPS,20250812,37250,39600,37250,38100,984616,38004
240810,원익IPS,20250813,39250,43350,39100,40900,1650091,67956
240810,원익IPS,20250814,40050,42550,39000,42550,1043406,43237
240810,원익IPS,20250818,41300,41550,40050,40200,603077,24544
240810,원익IPS,20250819,41000,42750,40500,42450,796562,33335
240810,원익IPS,20250820,41200,42100,40500,41550,640128,26368
240810,원익IPS,20250821,42500,42750,40250,41400,667766,27442
240810,원익IPS,20250822,41250,41850,40700,40950,387093,15911
240810,원익IPS,20250825,41300,41600,40600,41100,444421,18160
240810,원익IPS,20250826,40750,42350,40550,41050,672368,27880
240810,원익IPS,20250827,40900,41500,39800,41200,348622,14286
240810,원익IPS,20250828,40650,41550,40400,40750,310044,12670
240810,원익IPS,20250829,40900,41550,40200,40650,305086,12396
240810,원익IPS,20250901,39800,39800,38700,39300,473992,18561
240810,원익IPS,20250902,39450,39500,38050,38300,323863,12500
240810,원익IPS,20250903,37700,38450,37150,38150,303070,11505
240810,원익IPS,20250904,39800,39850,37700,38450,770656,29986
240810,원익IPS,20250905,39100,39950,38350,38400,453644,17764
240810,원익IPS,20250908,38800,39850,38550,39700,345883,13638
240810,원익IPS,20250909,40400,41900,40250,41100,820260,33847
240810,원익IPS,20250910,41900,45450,41800,44900,1748761,77707
240810,원익IPS,20250911,44450,44500,42850,43050,1000697,43322
240810,원익IPS,20250912,44100,45050,43600,44350,863080,38273
240810,원익IPS,20250915,45200,45600,44050,45000,855890,38399
240810,원익IPS,20250916,44900,45150,44200,44550,726533,32521
240810,원익IPS,20250917,43600,45000,43550,44600,454044,20249
240810,원익IPS,20250918,45150,46200,44500,45200,873747,39848
240810,원익IPS,20250919,46400,46400,44550,45600,522042,23659
240810,원익IPS,20250922,45500,47800,45450,46800,706723,33094
