code,name,date,open,high,low,close,volume,trade_value
432720,퀄리타스반도체,20240417,33081,33750,32507,32507,128655,4261
432720,퀄리타스반도체,20240418,32173,33750,31934,33703,119240,3938
432720,퀄리타스반도체,20240419,33081,33081,30308,31743,211085,6669
432720,퀄리타스반도체,20240422,30786,31503,30165,30356,131075,4000
432720,퀄리타스반도체,20240423,31264,31408,30308,30308,84219,2590
432720,퀄리타스반도체,20240424,31456,31886,30786,31025,102711,3214
432720,퀄리타스반도체,20240425,30356,31073,29830,29830,94158,2860
432720,퀄리타스반도체,20240426,30261,30643,29687,30117,82892,2490
432720,퀄리타스반도체,20240429,28874,31743,28874,29830,470363,13997
432720,퀄리타스반도체,20240430,30022,30308,28779,29018,215712,6335
432720,퀄리타스반도체,20240502,29018,29687,28348,29543,176685,5161
432720,퀄리타스반도체,20240503,30117,30165,28731,28779,143748,4187
432720,퀄리타스반도체,20240507,29448,29926,29352,29543,152223,4445
432720,퀄리타스반도체,20240508,24811,25384,22851,23042,1555300,36726
432720,퀄리타스반도체,20240509,23042,23042,22038,22038,458879,10300
432720,퀄리타스반도체,20240510,22086,22277,20939,21847,562490,12112
432720,퀄리타스반도체,20240513,21895,22612,21082,21225,378420,8173
432720,퀄리타스반도체,20240514,21225,21990,20986,21703,202360,4351
432720,퀄리타스반도체,20240516,22134,22229,21321,21369,190369,4129
432720,퀄리타스반도체,20240517,21417,21464,20795,20891,135160,2833
432720,퀄리타스반도체,20240520,20652,20700,20222,20365,149631,3048
432720,퀄리타스반도체,20240521,20604,20747,20126,20269,100543,2042
432720,퀄리타스반도체,20240522,20461,20461,19935,20174,95749,1926
432720,퀄리타스반도체,20240523,20508,23377,19696,20604,1998491,43689
432720,퀄리타스반도체,20240524,20222,20891,19887,20126,225837,4592
432720,퀄리타스반도체,20240527,20222,21034,20078,20508,191130,3911
432720,퀄리타스반도체,20240528,20556,21990,20174,21942,394910,8446
432720,퀄리타스반도체,20240529,22277,22421,21273,21321,296661,6498
432720,퀄리타스반도체,20240530,21130,25241,20461,21464,2737350,63717
432720,퀄리타스반도체,20240531,21560,21751,20939,20939,227200,4803
432720,퀄리타스반도체,20240603,20986,21799,20986,21703,194953,4189
432720,퀄리타스반도체,20240604,21512,21895,20939,21034,165022,3520
432720,퀄리타스반도체,20240605,21751,27201,21178,22899,4299135,105187
432720,퀄리타스반도체,20240607,22182,23711,22038,22851,848305,19589
432720,퀄리타스반도체,20240610,23500,23650,22550,22550,232084,5310
432720,퀄리타스반도체,20240611,22550,22850,22100,22150,156292,3502
432720,퀄리타스반도체,20240612,22150,22450,21200,21650,177171,3849
432720,퀄리타스반도체,20240613,22350,22850,21950,22300,176557,3942
432720,퀄리타스반도체,20240614,22250,22300,21000,21000,230794,4929
432720,퀄리타스반도체,20240617,20800,20950,20350,20550,111524,2298
432720,퀄리타스반도체,20240618,20400,21950,20400,20900,239210,5055
432720,퀄리타스반도체,20240619,21450,21850,20500,21550,221635,4731
432720,퀄리타스반도체,20240620,21550,21600,20800,20850,89853,1893
432720,퀄리타스반도체,20240621,20550,20700,20050,20100,85248,1726
432720,퀄리타스반도체,20240624,19920,20100,18800,19010,142656,2743
432720,퀄리타스반도체,20240625,18540,18800,18390,18750,86771,1607
432720,퀄리타스반도체,20240626,18900,19130,18820,18830,71861,1361
432720,퀄리타스반도체,20240627,18850,19330,18850,19100,67403,1290
432720,퀄리타스반도체,20240628,19290,21400,18890,19790,740567,15045
432720,퀄리타스반도체,20240701,20250,22300,20200,21250,605450,12875
432720,퀄리타스반도체,20240702,21250,21500,20200,21100,197365,4109
432720,퀄리타스반도체,20240703,20800,21100,19980,20150,120410,2441
432720,퀄리타스반도체,20240704,21400,21700,20200,20500,247534,5168
432720,퀄리타스반도체,20240705,20550,20700,20150,20450,92196,1883
432720,퀄리타스반도체,20240708,20400,20550,19960,20550,74970,1517
432720,퀄리타스반도체,20240709,20700,21200,20500,20850,106232,2218
432720,퀄리타스반도체,20240710,20700,20750,20000,20050,75009,1515
432720,퀄리타스반도체,20240711,20150,21400,18900,19310,322189,6348
432720,퀄리타스반도체,20240712,19040,19200,18860,19050,69427,1321
432720,퀄리타스반도체,20240715,19100,19100,18590,18920,59248,1117
432720,퀄리타스반도체,20240716,18920,19780,18730,18840,112086,2142
432720,퀄리타스반도체,20240717,18840,19110,18640,18640,52185,982
432720,퀄리타스반도체,20240718,17900,18100,17600,17900,121621,2163
432720,퀄리타스반도체,20240719,17940,18800,17900,18160,59736,1094
432720,퀄리타스반도체,20240722,17900,17910,17020,17020,73629,1269
432720,퀄리타스반도체,20240723,17100,17590,16720,16800,67816,1152
432720,퀄리타스반도체,20240724,16410,16900,16370,16370,54897,912
432720,퀄리타스반도체,20240725,16030,16230,15680,15910,74155,1182
432720,퀄리타스반도체,20240726,15900,16090,15550,15850,61437,969
432720,퀄리타스반도체,20240729,15840,15840,15570,15750,57173,896
432720,퀄리타스반도체,20240730,15550,15730,15000,15000,103841,1573
432720,퀄리타스반도체,20240731,14960,15270,14590,15220,98595,1464
432720,퀄리타스반도체,20240801,15500,15850,15310,15680,87995,1376
432720,퀄리타스반도체,20240802,14150,14190,12560,12710,1023980,13566
432720,퀄리타스반도체,20240805,12190,12400,9570,10230,988444,10822
432720,퀄리타스반도체,20240806,10330,11080,10330,10760,329589,3528
432720,퀄리타스반도체,20240807,10760,11110,10540,10780,262407,2850
432720,퀄리타스반도체,20240808,10400,10790,10050,10380,206719,2145
432720,퀄리타스반도체,20240809,10800,11400,10800,11070,231466,2561
